date, pm25, pm10, o3, no2, so2
2024/4/1, 4, 4, 35, 2, 
2024/4/2, 9, 4, 35, 1, 
2024/4/3, 9, 7, 35, 4, 
2024/4/4, 15, 5, 40, , 
2024/4/5, 10, 10, 45, , 
2024/4/6, 14, 23, 45, , 
2024/4/7, 28, , , , 
2024/1/1, 14, 2, 27, 1, 
2024/1/2, 6, 3, 29, 2, 
2024/1/3, 9, 7, 26, 8, 
2024/1/4, 19, 6, 23, 8, 
2024/1/5, 22, 6, 22, 3, 
2024/1/6, 23, 6, 15, 2, 
2024/1/7, 27, 8, 15, 5, 
2024/1/8, 33, 18, 13, 8, 
2024/1/9, 63, 32, 3, 10, 
2024/1/10, 96, 28, 9, 11, 
2024/1/11, 88, 41, 9, 9, 
2024/1/12, 119, 41, 10, 13, 
2024/1/13, 120, 20, 11, 18, 
2024/1/14, 65, 23, 12, 16, 
2024/1/15, 75, 23, 21, 13, 
2024/1/16, 74, 2, 24, 2, 
2024/1/17, 7, 3, 23, , 
2024/1/18, 9, 14, 18, 6, 
2024/1/19, 51, 19, 18, 9, 
2024/1/20, 64, 15, 18, 18, 
2024/1/21, 49, 7, 20, 12, 
2024/1/22, 23, 12, 20, 12, 
2024/1/23, 33, 8, 21, 9, 
2024/1/24, 22, 12, 12, 11, 
2024/1/25, 40, 13, 15, 10, 
2024/1/26, 40, 9, 18, 6, 
2024/1/27, 35, 10, 24, 10, 
2024/1/28, 35, 7, 26, 4, 
2024/1/29, 23, 14, 22, 12, 
2024/1/30, 39, 22, , 10, 
2024/1/31, 62, 22, 16, 10, 
2024/2/1, 60, 6, 19, 6, 
2024/2/2, 22, 13, 11, 10, 
2024/2/3, 46, 21, 7, 9, 
2024/2/4, 68, 37, 3, 14, 
2024/2/5, 81, 19, 15, 10, 
2024/2/6, 55, 14, 22, 8, 
2024/2/7, 36, 10, 26, 3, 
2024/2/8, 23, 7, 25, 2, 
2024/2/9, 17, 3, 24, 4, 
2024/2/10, 9, 6, 21, 5, 
2024/2/11, 20, 7, 11, 6, 
2024/2/12, 26, , , 10, 
2024/2/13, 32, 15, 16, 13, 
2024/2/14, 42, 12, 30, 11, 
2024/2/15, 32, 6, 29, 4, 
2024/2/16, 12, 7, 22, 3, 
2024/2/17, 23, 9, 19, 3, 
2024/2/18, 33, 6, 23, 4, 
2024/2/19, 19, 9, 23, 4, 
2024/2/20, 28, 12, 30, 8, 
2024/2/21, 39, 4, 36, 1, 
2024/2/22, 12, , 26, 3, 
2024/2/23, 8, 2, 29, 2, 
2024/2/24, 5, 2, 29, , 
2024/2/25, 4, 2, 27, 2, 
2024/2/26, 4, 13, 15, 4, 
2024/2/27, 47, 23, 17, 3, 
2024/2/28, 74, 17, 27, 7, 
2024/2/29, 52, 6, 27, 6, 
2024/3/1, 20, 4, 34, 1, 
2024/3/2, 10, 3, 32, 7, 
2024/3/3, 13, 8, 19, 8, 
2024/3/4, 28, 4, 25, 8, 
2024/3/5, 14, 6, 25, 7, 
2024/3/6, 21, 13, 29, 11, 
2024/3/7, 43, 4, 34, 1, 
2024/3/8, 9, 3, 36, , 
2024/3/9, 6, 2, 31, 2, 
2024/3/10, 5, 4, 21, 8, 
2024/3/11, 16, 9, 23, 8, 
2024/3/12, 32, 12, 23, 6, 
2024/3/13, 36, 8, 28, 7, 
2024/3/14, 22, 11, 23, 8, 
2024/3/15, 29, 6, 31, 4, 
2024/3/16, 18, 10, 21, 6, 
2024/3/17, 35, 6, 26, 5, 
2024/3/18, 17, 9, 28, 7, 
2024/3/19, 26, 9, 33, 5, 
2024/3/20, 22, 14, 32, 5, 
2024/3/21, 28, 13, , 7, 
2024/3/22, 31, , 31, 4, 
2024/3/23, 25, 4, 31, 2, 
2024/3/24, 13, 10, 34, 5, 
2024/3/25, 25, 12, 33, 3, 
2024/3/26, 22, 2, 31, 5, 
2024/3/27, 9, 4, 37, 1, 
2024/3/28, 8, 29, 34, , 
2024/3/29, 39, 63, 36, 1, 
2024/3/30, 80, 2, 36, , 
2024/3/31, 5, 2, 32, 1, 
2023/10/1, 57, 26, 37, 9, 
2023/10/2, 66, , 30, , 
2023/10/3, 32, 12, 27, 2, 
2023/10/4, 26, 13, 29, , 
2023/10/5, 27, 10, 14, 15, 
2023/10/6, 31, 16, 32, 15, 
2023/10/7, 30, 17, 31, 13, 
2023/10/8, 35, 30, 26, 15, 
2023/10/9, 49, 33, 36, 9, 
2023/10/10, 52, 30, 32, , 
2023/10/11, 53, 22, 29, , 
2023/10/12, 41, 24, 32, 10, 
2023/10/13, 45, 15, 28, , 
2023/10/14, 30, 9, 24, , 
2023/10/15, 19, 15, 16, 6, 
2023/10/16, 24, 15, 27, 5, 
2023/10/17, 27, 12, 28, 1, 
2023/10/18, 17, 6, 28, 4, 
2023/10/19, 14, 3, 26, 2, 
2023/10/20, 4, 3, 29, 1, 
2023/10/21, 6, 5, 24, 4, 
2023/10/22, 13, 21, 28, 5, 
2023/10/23, 30, 7, 16, 7, 
2023/10/24, 18, 3, 23, 2, 
2023/10/25, 6, 3, 22, , 
2023/10/26, 7, 3, 29, 3, 
2023/10/27, 7, 5, 32, 1, 
2023/10/28, 12, 6, 33, , 
2023/10/29, 17, 6, 32, 3, 
2023/10/30, 17, 5, 22, 6, 
2023/10/31, 12, 5, 28, 3, 
2023/11/1, 13, , 28, 2, 
2023/11/2, 9, 2, 24, 3, 
2023/11/3, 5, 2, 30, , 
2023/11/4, 5, 3, 29, 1, 
2023/11/5, 7, 3, 27, 3, 
2023/11/6, 6, 5, , 7, 
2023/11/7, 14, 11, 26, 9, 
2023/11/8, 30, 3, 28, 4, 
2023/11/9, 8, 3, 24, 3, 
2023/11/10, 7, 7, 22, 5, 
2023/11/11, 22, 6, 24, 3, 
2023/11/12, 18, 5, 22, 6, 
2023/11/13, 11, 4, 21, 5, 
2023/11/14, 8, 9, 21, 7, 
2023/11/15, 23, 9, 26, 6, 
2023/11/16, 25, 5, 22, 7, 
2023/11/17, 16, 14, 12, 12, 
2023/11/18, 44, 10, 13, 10, 
2023/11/19, 32, 11, 8, 11, 
2023/11/20, 34, 7, 16, 7, 
2023/11/21, 22, 8, 15, 4, 
2023/11/22, 28, 11, 18, 6, 
2023/11/23, 39, 6, 25, 7, 
2023/11/24, 20, 10, 21, 4, 
2023/11/25, 29, 14, 20, 7, 
2023/11/26, 48, 15, 21, 13, 
2023/11/27, 42, 4, 18, 5, 
2023/11/28, 13, 14, 12, 11, 
2023/11/29, 48, 7, 17, 11, 
2023/11/30, 25, 3, 19, 8, 
2023/12/1, 18, 11, 14, 5, 
2023/12/2, 46, 14, 13, 8, 
2023/12/3, 56, , 22, 3, 
2023/12/4, 13, 8, 24, 11, 
2023/12/5, 21, 15, 10, 13, 
2023/12/6, 46, 17, 18, 12, 
2023/12/7, 56, 8, 25, 13, 
2023/12/8, 26, 6, 25, 7, 
2023/12/9, 20, 7, 22, 5, 
2023/12/10, 21, 2, 22, 5, 
2023/12/11, 5, 4, 24, 6, 
2023/12/12, 8, 3, 23, 6, 
2023/12/13, 8, 4, 17, 4, 
2023/12/14, 15, 8, 14, 7, 
2023/12/15, 28, 10, 15, 5, 
2023/12/16, 37, 16, 10, 9, 
2023/12/17, 55, 20, 4, 18, 
2023/12/18, 55, 22, 4, 15, 
2023/12/19, 65, 10, 18, 9, 
2023/12/20, 35, 5, 22, 10, 
2023/12/21, 18, 3, 25, 6, 
2023/12/22, 10, 4, 22, 5, 
2023/12/23, 12, , , , 
2023/12/26, 75, 12, 28, 14, 
2023/12/27, 38, 6, 26, 6, 
2023/12/28, 20, 7, 24, 9, 
2023/12/29, 23, 10, 22, 12, 
2023/12/30, 37, 4, 29, 2, 
2023/12/31, 13, 5, 22, 5, 
2023/7/1, 16, 13, 30, 1, 
2023/7/2, 44, 15, 27, 2, 
2023/7/3, 41, 8, 24, 3, 
2023/7/4, 16, 8, 20, 2, 
2023/7/5, 19, , , , 
2023/7/9, 52, 21, 51, 3, 
2023/7/10, 53, 40, 42, 4, 
2023/7/11, 65, 26, 20, 2, 
2023/7/12, 47, 8, 31, 1, 
2023/7/13, 16, 9, 38, 2, 
2023/7/14, 21, 15, 37, , 
2023/7/15, 34, 7, 29, 1, 
2023/7/16, 17, 14, 41, 2, 
2023/7/17, 33, 20, 52, 4, 
2023/7/18, 42, 19, 39, 3, 
2023/7/19, 40, 12, 33, 3, 
2023/7/20, 18, 15, 33, 2, 
2023/7/21, 24, 10, 31, 2, 
2023/7/22, 20, 12, 39, 2, 
2023/7/23, 32, 14, 29, 2, 
2023/7/24, 35, 5, 26, 1, 
2023/7/25, 12, 8, 31, 2, 
2023/7/26, 16, 7, 26, 2, 
2023/7/27, 16, 10, 40, 3, 
2023/7/28, 22, 9, 29, 3, 
2023/7/29, 26, 5, 30, 1, 
2023/7/30, 15, 9, 38, 2, 
2023/7/31, 21, 7, 28, 1, 
2023/8/1, 18, 8, 27, , 
2023/8/2, 21, 6, 27, , 
2023/8/3, 12, 6, 27, 1, 
2023/8/4, 13, 5, 31, 1, 
2023/8/5, 17, 4, 29, , 
2023/8/6, 10, 5, 28, 2, 
2023/8/7, 10, 6, 35, 2, 
2023/8/8, 11, 8, 36, 2, 
2023/8/9, 15, 12, 39, 4, 
2023/8/10, 22, 13, 38, 3, 
2023/8/11, 29, 15, 37, 3, 
2023/8/12, 37, 12, 30, 2, 
2023/8/13, 31, 18, 31, 2, 
2023/8/14, 35, 11, 34, 1, 
2023/8/15, 24, 12, 43, 3, 
2023/8/16, 29, 14, 35, 3, 
2023/8/17, 32, 17, 41, 3, 
2023/8/18, 38, 25, 47, 3, 
2023/8/19, 46, 24, 45, 3, 
2023/8/20, 52, 21, 44, 3, 
2023/8/21, 47, 20, 49, 4, 
2023/8/22, 47, 24, 48, 4, 
2023/8/23, 45, 31, 41, 5, 
2023/8/24, 52, 18, 40, 3, 
2023/8/25, 42, 16, 20, 4, 
2023/8/26, 42, 5, 25, 2, 
2023/8/27, 14, 6, 24, 2, 
2023/8/28, 16, 6, 30, 2, 
2023/8/29, 14, 8, 31, 5, 
2023/8/30, 17, 8, 26, 5, 
2023/8/31, 16, 7, 29, 4, 
2023/9/1, 15, 8, 30, 4, 
2023/9/2, 19, 10, 42, 4, 
2023/9/3, 28, 13, 38, 6, 
2023/9/4, 32, 23, 46, 8, 
2023/9/5, 43, 24, 43, 7, 
2023/9/6, 51, 22, 51, 6, 
2023/9/7, 49, 20, 50, 6, 
2023/9/8, 48, 18, 50, 5, 
2023/9/9, 50, 14, 44, 4, 
2023/9/10, 43, 16, 42, 6, 
2023/9/11, 37, 13, 35, 6, 
2023/9/12, 27, 9, 26, 5, 
2023/9/13, 24, 11, 25, 5, 
2023/9/14, 32, 9, 34, 5, 
2023/9/15, 23, 9, 31, 1, 
2023/9/16, 23, 47, 32, 1, 
2023/9/17, 69, 15, 24, 6, 
2023/9/18, 29, 5, 30, 4, 
2023/9/19, 10, 9, 28, 6, 
2023/9/20, 18, 5, 28, 2, 
2023/9/21, 10, 4, 25, 3, 
2023/9/22, 9, , , , 
2023/9/24, 15, 8, 33, 7, 
2023/9/25, 20, 11, 35, 10, 
2023/9/26, 26, 14, 38, 11, 
2023/9/27, 31, 14, 39, 9, 
2023/9/28, 31, 14, 26, 8, 
2023/9/29, 33, 23, 32, 4, 
2023/9/30, 49, 17, 36, 5, 
2023/4/1, 9, 3, 26, 1, 
2023/4/2, 10, 6, 19, 2, 
2023/4/3, 23, 10, 33, 3, 
2023/4/4, 33, 11, 33, 9, 
2023/4/5, 38, 13, 35, 8, 
2023/4/6, 39, 11, 38, 8, 
2023/4/7, 30, 7, 37, 5, 
2023/4/8, 24, 8, 38, 5, 
2023/4/9, 28, 8, 39, 5, 
2023/4/10, 25, 7, 33, 3, 
2023/4/11, 21, 7, 37, 2, 
2023/4/12, 16, 6, 35, 5, 
2023/4/13, 14, 3, 31, 4, 
2023/4/14, 8, 2, 29, 3, 
2023/4/15, 6, 12, 31, 2, 
2023/4/16, 45, 16, 22, 4, 
2023/4/17, 56, 13, 33, 4, 
2023/4/18, 46, 10, 37, 7, 
2023/4/19, 32, 13, 25, 7, 
2023/4/20, 45, 11, 44, 5, 
2023/4/21, 35, 8, 45, 1, 
2023/4/22, 19, 3, 33, 2, 
2023/4/23, 8, 6, 38, 3, 
2023/4/24, 16, 9, 40, 3, 
2023/4/25, 26, 11, 38, 5, 
2023/4/26, 25, 12, 37, 5, 
2023/4/27, 26, 10, 29, 4, 
2023/4/28, 16, 8, 24, 4, 
2023/4/29, 21, 10, 29, 2, 
2023/4/30, 32, 8, 34, 2, 
2023/5/1, 28, 10, 38, 2, 
2023/5/2, 30, 12, 45, 5, 
2023/5/3, 32, 12, 41, 5, 
2023/5/4, 26, 13, 31, 5, 
2023/5/5, 33, 12, 33, 3, 
2023/5/6, 37, 5, 32, 3, 
2023/5/7, 12, 8, 30, 2, 
2023/5/8, 20, 9, 18, 5, 
2023/5/9, 22, 6, 31, 2, 
2023/5/10, 12, 4, 27, 2, 
2023/5/11, 9, 6, 25, 3, 
2023/5/12, 20, 9, 21, 3, 
2023/5/13, 31, 8, 30, 2, 
2023/5/14, 28, 21, 41, 3, 
2023/5/15, 59, 13, 30, 3, 
2023/5/16, 42, 11, 34, 2, 
2023/5/17, 22, 11, 29, 2, 
2023/5/18, 37, 12, 33, 4, 
2023/5/19, 36, 13, 29, 3, 
2023/5/20, 43, 18, 27, 4, 
2023/5/21, 57, 21, 31, 5, 
2023/5/22, 60, 24, 27, 4, 
2023/5/23, 65, 20, 35, 3, 
2023/5/24, 56, 14, 39, 3, 
2023/5/25, 39, 16, 41, 5, 
2023/5/26, 47, 18, 51, 5, 
2023/5/27, 52, 16, 40, 5, 
2023/5/28, 48, 15, 50, 3, 
2023/5/29, 41, 16, 50, 4, 
2023/5/30, 40, 17, 48, 4, 
2023/5/31, 44, 12, 51, 4, 
2023/6/1, 32, 19, 60, 4, 
2023/6/2, 47, 14, 43, 3, 
2023/6/3, 42, 8, 40, 2, 
2023/6/4, 24, 13, 50, 3, 
2023/6/5, 36, 18, 63, 4, 
2023/6/6, 47, 18, 53, 4, 
2023/6/7, 52, 11, 38, 4, 
2023/6/8, 31, 11, 31, 5, 
2023/6/9, 28, 8, 35, 3, 
2023/6/10, 21, 9, 34, 3, 
2023/6/11, 27, 12, 40, 4, 
2023/6/12, 34, 12, 32, 6, 
2023/6/13, 35, 15, 56, 3, 
2023/6/14, 36, 20, 66, 4, 
2023/6/15, 48, 19, 62, 4, 
2023/6/16, 51, 22, 65, 3, 
2023/6/17, 50, 17, 50, 4, 
2023/6/18, 50, 15, 52, 4, 
2023/6/19, 37, 24, 45, 5, 
2023/6/20, 48, 25, 48, 5, 
2023/6/21, 51, 19, 31, 6, 
2023/6/22, 42, 11, 38, 3, 
2023/6/23, 28, 13, 52, 4, 
2023/6/24, 30, 13, 53, 3, 
2023/6/25, 39, 16, 36, 4, 
2023/6/26, 43, 15, 41, 3, 
2023/6/27, 31, 13, 41, 4, 
2023/6/28, 23, 18, 42, 4, 
2023/6/29, 39, 12, 33, 3, 
2023/6/30, 37, 7, 17, 3, 
2023/1/2, 31, , 17, 9, 
2023/1/3, 29, , 7, 5, 
2023/1/4, 35, , 16, , 
2023/1/5, 27, , 17, 9, 
2023/1/6, 21, , 31, 7, 
2023/1/7, 23, , 30, , 
2023/1/8, 16, , 29, 6, 
2023/1/9, 11, , 20, 2, 
2023/1/10, 21, 6, 21, , 
2023/1/11, 19, 7, 22, 10, 
2023/1/12, 20, , 28, 3, 
2023/1/13, 15, 7, 27, 8, 
2023/1/14, 22, 2, 28, 4, 
2023/1/15, 10, , 29, 1, 
2023/1/16, 6, 2, 29, , 
2023/1/17, 6, 1, 30, 7, 
2023/1/18, 25, 13, 16, 12, 
2023/1/19, 46, 12, , 10, 
2023/1/20, 48, , 24, , 
2023/1/21, 35, , 22, , 
2023/1/22, 55, , 12, 8, 
2023/1/23, 55, , 13, 6, 
2023/1/24, 69, , 13, , 
2023/1/25, 71, , 13, 7, 
2023/1/26, 42, , 14, 5, 
2023/1/27, 55, , , , 
2023/1/28, 53, , 21, , 
2023/1/29, 58, , 20, 9, 
2023/1/30, 56, 8, 21, 3, 
2023/1/31, 32, 16, 23, , 
2023/2/1, 47, , 20, , 
2023/2/2, 38, , 28, , 
2023/2/3, 30, , 22, , 
2023/2/4, 39, , 28, , 
2023/2/5, 27, , 21, , 
2023/2/6, 35, , 18, , 
2023/2/7, 55, , 15, , 
2023/2/8, 81, , 6, , 
2023/2/9, 65, , 10, , 
2023/2/10, 91, , 9, , 
2023/2/11, 110, , , , 
2023/2/12, 116, , , , 
2023/2/13, 76, , , , 
2023/2/14, 62, , , , 
2023/2/15, 65, , , , 
2023/2/16, 50, , 24, , 
2023/2/17, 50, , 28, , 
2023/2/18, 47, , , , 
2023/2/19, 40, , 25, , 
2023/2/20, 30, , 18, , 
2023/2/21, 60, , , , 
2023/2/22, 69, , , , 
2023/2/23, 66, , , , 
2023/2/24, 54, , , , 
2023/2/25, 28, 8, 30, 2, 
2023/2/26, 22, 10, 24, 4, 
2023/2/27, 29, 15, 20, 5, 
2023/2/28, 51, 28, 17, 6, 
2023/3/1, 82, 35, 23, 8, 
2023/3/2, 97, 41, 27, 9, 
2023/3/3, 108, 47, 24, 7, 
2023/3/4, 120, 34, 27, 6, 
2023/3/5, 98, 34, 28, 11, 
2023/3/6, 90, 23, 23, 10, 
2023/3/7, 63, 4, 31, 4, 
2023/3/8, 12, 6, 32, 4, 
2023/3/9, 16, 7, 34, 2, 
2023/3/10, 16, 4, 20, 6, 
2023/3/11, 16, 5, 28, 5, 
2023/3/12, 18, 5, 26, 5, 
2023/3/13, 12, 4, 33, 2, 
2023/3/14, 9, 6, 33, 5, 
2023/3/15, 17, 8, 40, 7, 
2023/3/16, 23, 6, 42, 1, 
2023/3/17, 12, 6, 42, 1, 
2023/3/18, 17, 4, 34, 2, 
2023/3/19, 13, 7, 32, 3, 
2023/3/20, 22, 10, 32, 7, 
2023/3/21, 29, 10, 32, 6, 
2023/3/22, 27, 9, 40, 4, 
2023/3/23, 21, 7, 37, 3, 
2023/3/24, 16, 6, 33, 2, 
2023/3/25, 15, 4, 34, 1, 
2023/3/26, 11, 6, 29, 2, 
2023/3/27, 18, 11, 32, 8, 
2023/3/28, 31, 20, 24, 12, 
2023/3/29, 32, 18, 35, 2, 
2023/3/30, 37, 13, 34, 1, 
2023/3/31, 30, 3, 31, 1, 
2022/10/3, 14, , 19, 5, 
2022/10/4, 28, , 17, , 
2022/10/5, 20, , 30, , 
2022/10/6, 33, , 27, , 
2022/10/7, 36, , 23, , 
2022/10/8, 30, , 19, , 
2022/10/9, 42, , , , 
2022/10/10, 35, , 23, , 
2022/10/11, 51, , 20, , 
2022/10/12, 50, , 23, , 
2022/10/13, 45, , 18, , 
2022/10/14, 10, , 18, , 
2022/10/15, 8, , 19, , 
2022/10/16, 21, , 33, , 
2022/10/17, 21, , 29, , 
2022/10/18, 28, , 22, , 
2022/10/19, 45, , 17, , 
2022/10/20, 34, , 23, , 
2022/10/21, 28, , 26, , 
2022/10/22, 20, , 30, , 
2022/10/23, 48, , 34, , 
2022/10/24, 36, 13, 30, , 
2022/10/25, 25, 28, 29, 9, 
2022/10/26, 53, , 28, , 
2022/10/27, 53, , 16, , 
2022/10/28, 54, , 23, , 
2022/10/29, 36, , 32, 10, 
2022/10/30, 17, , 31, 1, 
2022/10/31, 47, , 31, , 
2022/11/2, 27, , 10, , 
2022/11/3, 19, , 9, 5, 
2022/11/7, 27, , , , 
2022/11/8, 11, , , 2, 
2022/11/9, 17, , , 10, 
2022/11/10, 25, , , 3, 
2022/11/11, 42, 15, , , 
2022/11/12, 43, 16, , 11, 
2022/11/13, 48, , , 10, 
2022/11/14, 19, 5, 23, 1, 
2022/11/15, 15, 2, 21, 5, 
2022/11/16, 10, 6, 27, 2, 
2022/11/17, 15, , 26, 5, 
2022/11/18, 15, 8, 21, 2, 
2022/11/19, 31, , 22, , 
2022/11/21, 13, , 21, 4, 
2022/11/22, 20, , 18, , 
2022/11/23, 21, 12, 22, , 
2022/11/24, 34, 12, 16, , 
2022/11/25, 32, 12, 15, 13, 
2022/11/26, 38, 9, 19, 4, 
2022/11/27, 39, 7, 27, 9, 
2022/11/28, 23, 8, 25, 1, 
2022/11/29, 21, 15, 18, , 
2022/11/30, 50, 18, 13, , 
2022/12/1, 49, , 17, 7, 
2022/12/2, 59, 18, 12, 2, 
2022/12/3, 65, 13, 3, 10, 
2022/12/4, 49, , 8, 10, 
2022/12/5, 50, 20, 7, 11, 
2022/12/6, 69, 13, 4, , 
2022/12/7, 52, 13, 15, 8, 
2022/12/8, 73, , 12, 3, 
2022/12/9, 57, , , , 
2022/12/10, 48, , 19, , 
2022/12/11, 63, 30, 18, , 
2022/12/12, 87, 30, 4, , 
2022/12/13, 69, 4, 18, , 
2022/12/14, 13, 12, 15, , 
2022/12/15, 29, , 5, , 
2022/12/16, 39, , 12, , 
2022/12/17, 66, 12, 11, 11, 
2022/12/18, 42, 5, 20, 14, 
2022/12/19, 8, 4, 27, 1, 
2022/12/20, 11, 3, 27, , 
2022/12/21, 10, 7, 26, , 
2022/12/22, 19, 2, 24, , 
2022/12/23, 9, , 21, , 
2022/12/24, 23, , 20, , 
2022/12/25, 24, 11, 18, , 
2022/12/26, 35, 3, 22, 8, 
2022/12/27, 27, 10, 17, 4, 
2022/12/28, 32, 8, 24, , 
2022/12/29, 21, , 25, , 
2022/12/30, 8, , 23, 3, 
2022/12/31, 9, 16, 22, , 
2023/1/1, 34, 21, 27, , 
2022/7/1, 10, 17, 39, 4, 
2022/7/2, 33, 14, 45, 5, 
2022/7/3, 35, 13, 32, 5, 
2022/7/4, 26, 12, 36, 4, 
2022/7/5, 19, , 37, , 
2022/7/6, 17, , 33, , 
2022/7/7, 17, , 36, , 
2022/7/8, 20, , 40, , 
2022/7/9, 23, , 39, , 
2022/7/10, 22, , 42, , 
2022/7/11, 24, , 41, , 
2022/7/12, 16, , 75, , 
2022/7/13, 20, , 53, , 
2022/7/14, 27, , 54, , 
2022/7/15, 29, , 48, , 
2022/7/16, 30, , 61, , 
2022/7/17, 30, , 70, , 
2022/7/18, 39, 22, 45, , 
2022/7/19, 50, 25, 43, , 
2022/7/20, 59, 19, 46, 4, 
2022/7/21, 52, , 58, 5, 
2022/7/22, 57, , 37, 3, 
2022/7/23, 53, 14, 58, 3, 
2022/7/24, 48, 13, 46, 6, 
2022/7/25, 48, 11, 31, 2, 
2022/7/26, 17, 10, 37, 3, 
2022/7/27, 16, 13, 42, 4, 
2022/7/28, 22, 11, 47, 4, 
2022/7/29, 28, 14, 51, , 
2022/7/30, 26, 11, 41, 2, 
2022/7/31, 23, , 36, 3, 
2022/8/1, 24, 12, 37, , 
2022/8/2, 18, 14, 51, 3, 
2022/8/3, 20, 15, 44, 4, 
2022/8/4, 30, 17, 46, 3, 
2022/8/5, 35, 14, 45, 5, 
2022/8/6, 38, 10, 45, 4, 
2022/8/7, 25, , 48, 4, 
2022/8/8, 21, , 57, 6, 
2022/8/9, 25, , 63, , 
2022/8/10, 32, , 67, , 
2022/8/11, 40, , 65, , 
2022/8/12, 45, , 68, , 
2022/8/13, 37, , 37, , 
2022/8/14, 26, 11, 38, 3, 
2022/8/15, 29, 14, 43, 6, 
2022/8/16, 46, 12, 31, 5, 
2022/8/17, 37, 9, 30, 3, 
2022/8/18, 29, , 31, 2, 
2022/8/19, 24, 4, 25, 2, 
2022/8/20, 9, 7, 33, 3, 
2022/8/21, 16, 6, 26, 4, 
2022/8/22, 12, 4, 28, 4, 
2022/8/23, 9, , 50, 4, 
2022/8/24, 11, 12, 41, 6, 
2022/8/25, 28, 12, 39, 3, 
2022/8/26, 32, , 37, 3, 
2022/8/27, 33, , 43, 4, 
2022/8/28, 38, , 51, 5, 
2022/8/29, 44, 16, 37, , 
2022/8/30, 45, 8, 40, 4, 
2022/8/31, 35, 15, 46, 5, 
2022/9/1, 36, 11, 32, 7, 
2022/9/2, 30, , 30, , 
2022/9/3, 25, , 35, , 
2022/9/4, 29, 17, 32, 4, 
2022/9/5, 36, 19, 26, 1, 
2022/9/6, 34, 15, 30, 5, 
2022/9/7, 35, 7, 25, 4, 
2022/9/8, 15, , 12, 4, 
2022/9/9, 13, , 27, , 
2022/9/10, 12, 5, 32, , 
2022/9/11, 12, 4, 38, , 
2022/9/12, 15, 14, 26, 7, 
2022/9/13, 27, 8, 27, , 
2022/9/14, 18, 10, 22, 5, 
2022/9/15, 20, 7, 28, 3, 
2022/9/16, 30, , 22, , 
2022/9/17, 19, , 26, 4, 
2022/9/18, 16, 7, 25, 5, 
2022/9/19, 14, 6, 26, 6, 
2022/9/20, 18, , 28, 7, 
2022/9/21, 20, 12, 33, 8, 
2022/9/22, 26, 11, 29, 13, 
2022/9/23, 36, 6, 30, , 
2022/9/24, 22, 7, 27, , 
2022/9/25, 15, 8, 26, 3, 
2022/9/26, 28, 3, 22, 1, 
2022/9/27, 13, , 20, , 
2022/9/28, 5, 4, 19, 5, 
2022/9/29, 11, 9, 19, 4, 
2022/9/30, 29, , 17, 7, 
2022/4/1, 26, 11, 15, 4, 
2022/4/2, 44, 13, 40, 5, 
2022/4/3, 53, 16, 30, 9, 
2022/4/4, 57, 18, 28, 11, 
2022/4/5, 55, 9, 20, 7, 
2022/4/6, 27, 3, 25, 3, 
2022/4/7, 4, 4, 32, 2, 
2022/4/8, 7, 5, 30, 3, 
2022/4/9, 15, 7, 34, 6, 
2022/4/10, 23, 6, 36, 7, 
2022/4/11, 16, 10, 36, 3, 
2022/4/12, 16, 14, 36, 9, 
2022/4/13, 26, 19, 32, 5, 
2022/4/14, 40, 17, 34, 5, 
2022/4/15, 33, 15, 34, 4, 
2022/4/16, 34, 8, 33, 4, 
2022/4/17, 21, 8, 37, 4, 
2022/4/18, 20, 11, 34, 5, 
2022/4/19, 20, 14, 27, 8, 
2022/4/20, 29, 11, 34, 6, 
2022/4/21, 32, 16, 42, 6, 
2022/4/22, 41, 5, 36, 1, 
2022/4/23, 13, 1, 30, 2, 
2022/4/24, 4, 10, 30, 4, 
2022/4/25, 33, 14, 35, 5, 
2022/4/26, 45, 14, 39, 6, 
2022/4/27, 41, 14, 42, 6, 
2022/4/28, 34, 13, 40, 6, 
2022/4/29, 29, 14, 37, 4, 
2022/4/30, 42, 16, 34, 3, 
2022/5/1, 49, 14, 38, 5, 
2022/5/2, 39, 16, 34, 5, 
2022/5/3, 40, 12, 31, 5, 
2022/5/4, 30, 13, 22, 5, 
2022/5/5, 41, 13, 27, 5, 
2022/5/6, 40, 14, 39, 4, 
2022/5/7, 40, 13, 36, 4, 
2022/5/8, 41, 14, 38, 6, 
2022/5/9, 40, 15, 41, 4, 
2022/5/10, 39, 17, 43, 4, 
2022/5/11, 38, 18, 37, 7, 
2022/5/12, 38, 21, 29, 6, 
2022/5/13, 48, 14, 37, 3, 
2022/5/14, 37, 15, 42, 3, 
2022/5/15, 38, 19, 41, 5, 
2022/5/16, 33, 22, 49, 5, 
2022/5/17, 42, 18, 46, 4, 
2022/5/18, 39, 19, 42, 2, 
2022/5/19, 36, 23, 38, 1, 
2022/5/20, 38, 26, 44, 3, 
2022/5/21, 54, 25, 42, 4, 
2022/5/22, 54, 21, 29, 4, 
2022/5/23, 40, 7, 34, 2, 
2022/5/24, 11, 6, 33, 2, 
2022/5/25, 9, 7, 30, 2, 
2022/5/26, 13, 10, 27, 2, 
2022/5/27, 18, 13, 37, 1, 
2022/5/28, 20, 10, 34, 2, 
2022/5/29, 18, 12, 44, 4, 
2022/5/30, 22, 13, 26, 7, 
2022/5/31, 30, 13, 6, 6, 
